created_at,favorite_count,full_text,case_folding,cleaning,normalisasi,sentiment
2026-05-04T15:38:35.000Z,0,FAWKSJSKSKS GUE DI KAMAR NOMOR 1 RUMAH SAKIT KORBAN EOMSEONGHYEON TANGGAL 4 MEI 2026 https://t.co/bFAyPKuBlh,fawksjsksks gue di kamar nomor 1 rumah sakit korban eomseonghyeon tanggal 4 mei 2026 https://t.co/bfaypkublh,fawksjsksks gue di kamar nomor 1 rumah sakit korban eomseonghyeon tanggal 4 mei 2026,fawksjsksks gue di kamar nomor 1 rumah sakit korban eomseonghyeon tanggal 4 mei 2026,Negatif
2026-05-04T15:38:09.000Z,0,"kalian setuju gak sih foto joe burrow yang ini sevibes sama prof sukuna (kiri pas lagi nemenin his wife ke art exhibition, yang kanan otw ke rumah sakit karena ada 6 operasi yang harus dia buka muehehe :3) https://t.co/g75DLUT8px","kalian setuju gak sih foto joe burrow yang ini sevibes sama prof sukuna (kiri pas lagi nemenin his wife ke art exhibition, yang kanan otw ke rumah sakit karena ada 6 operasi yang harus dia buka muehehe :3) https://t.co/g75dlut8px",kalian setuju gak sih foto joe burrow yang ini sevibes sama prof sukuna kiri pas lagi nemenin his wife ke art exhibition yang kanan otw ke rumah sakit karena ada 6 operasi yang harus dia buka muehehe 3,kalian setuju tidak sih foto joe burrow yang ini sevibes sama prof sukuna kiri pas lagi nemenin his wife ke art exhibition yang kanan otw ke rumah sakit karena ada 6 operasi yang harus dia buka muehehe 3,Negatif
2026-05-04T15:27:31.000Z,0,"Kasus Kematian Prajurit TNI AL kembali terjadi, kali ini kejadian di Kapal KRI dr. Radjiman Wedyodiningrat

💢Seorang anggota TNI Angkatan Laut (AL) berpangkat Kelasi Dua bernama Ghofirul Kasyfi (22), asal Bangkalan, Jawa Timur, ditemukan meninggal dunia di dalam kamar tugasnya https://t.co/Ox8At5anYe","kasus kematian prajurit tni al kembali terjadi, kali ini kejadian di kapal kri dr. radjiman wedyodiningrat

💢seorang anggota tni angkatan laut (al) berpangkat kelasi dua bernama ghofirul kasyfi (22), asal bangkalan, jawa timur, ditemukan meninggal dunia di dalam kamar tugasnya https://t.co/ox8at5anye",kasus kematian prajurit tni al kembali terjadi kali ini kejadian di kapal kri dr radjiman wedyodiningrat seorang anggota tni angkatan laut al berpangkat kelasi dua bernama ghofirul kasyfi 22 asal bangkalan jawa timur ditemukan meninggal dunia di dalam kamar tugasnya,kasus kematian prajurit tni al kembali terjadi kali ini kejadian di kapal kiri dari radjiman wedyodiningrat seorang anggota tni angkatan laut al berpangkat kelasi dua bernama ghofirul kasyfi 22 asal bangkalan jawa timur ditemukan meninggal dunia di dalam kamar tugasnya,Negatif
2026-05-04T15:16:47.000Z,2158,"Rumah sakit korban Yoon Jeonghan pun sudah tak sanggup melayani 

[CLOSED] https://t.co/M9NMxinteo","rumah sakit korban yoon jeonghan pun sudah tak sanggup melayani 

[closed] https://t.co/m9nmxinteo",rumah sakit korban yoon jeonghan pun sudah tak sanggup melayani closed,rumah sakit korban yoon jeonghan pun sudah tak sanggup melayani closed,Negatif
2026-05-04T15:14:19.000Z,0,"Menurut Kemenhaj, langkah ini dilakukan untuk mengoptimalkan layanan kesehatan bagi jemaah haji Indonesia yang menginap di hotel Al-Hidayah. https://t.co/cgnMDWwNtP","menurut kemenhaj, langkah ini dilakukan untuk mengoptimalkan layanan kesehatan bagi jemaah haji indonesia yang menginap di hotel al-hidayah. https://t.co/cgnmdwwntp",menurut kemenhaj langkah ini dilakukan untuk mengoptimalkan layanan kesehatan bagi jemaah haji indonesia yang menginap di hotel al hidayah,menurut kemenhaj langkah ini dilakukan untuk mengoptimalkan layanan kesehatan bagi jemaah haji indonesia yang menginap di hotel al hidayah,Positif
2026-05-04T15:13:13.000Z,0,gimana caranya supaya cpt ke rumah sakit ya Allah apa hari rabu aja ya aku udah gak kuat bgt,gimana caranya supaya cpt ke rumah sakit ya allah apa hari rabu aja ya aku udah gak kuat bgt,gimana caranya supaya cpt ke rumah sakit ya allah apa hari rabu aja ya aku udah gak kuat bgt,bagaimana caranya supaya cepat ke rumah sakit ya allah apa hari rabu saja ya aku sudah tidak kuat banget,Netral
2026-05-04T15:05:53.000Z,0,@Franken_blues Kasian cepat di bawa rumah sakit sebelum terlambat..,@franken_blues kasian cepat di bawa rumah sakit sebelum terlambat..,kasian cepat di bawa rumah sakit sebelum terlambat,kasihan cepat di bawa rumah sakit sebelum terlambat,Netral
2026-05-04T15:03:41.000Z,0,"Milad ke 34, RS Islam Jakarta Sukapura Kelapa Gading Bertransformasi Menjadi Rumah Sakit Modern via @kedaipenacom https://t.co/gNXQCZvCEO","milad ke 34, rs islam jakarta sukapura kelapa gading bertransformasi menjadi rumah sakit modern via @kedaipenacom https://t.co/gnxqczvceo",milad ke 34 rs islam jakarta sukapura kelapa gading bertransformasi menjadi rumah sakit modern via,milad ke 34 rs islam jakarta sukapura kelapa gading bertransformasi menjadi rumah sakit modern via,Negatif
2026-05-04T15:02:49.000Z,1,@massdowman kantin rumah sakit hehe https://t.co/cz6ByBa59S,@massdowman kantin rumah sakit hehe https://t.co/cz6byba59s,kantin rumah sakit hehe,kantin rumah sakit hehe,Negatif
2026-05-04T15:01:39.000Z,583,meme rumah sakit korban jaeyong mana sih 😭😭😭,meme rumah sakit korban jaeyong mana sih 😭😭😭,meme rumah sakit korban jaeyong mana sih,meme rumah sakit korban jaeyong mana sih,Negatif
2026-05-04T15:00:04.000Z,0,"𝐃𝐢𝐤𝐚𝐛𝐚𝐫𝐤𝐚𝐧 𝐒𝐚𝐤𝐢𝐭 𝐇𝐢𝐧𝐠𝐠𝐚 𝐃𝐢𝐫𝐚𝐰𝐚𝐭 𝐈𝐧𝐭𝐞𝐧𝐬𝐢𝐟, 𝐌𝐞𝐧𝐤𝐞𝐮 𝐏𝐮𝐛𝐚𝐲𝐚: ""𝐇𝐚𝐧𝐲𝐚 𝐂𝐡𝐞𝐜𝐤 𝐔𝐩 𝐁𝐢𝐚𝐬𝐚, 𝐍𝐨𝐫𝐦𝐚𝐥""

Menteri Keuangan, Purbaya Yudhi Sadewa, membantah kabar yang menyebut dirinya jatuh sakit hingga harus dirawat di rumah https://t.co/XJzhHxdBfX","𝐃𝐢𝐤𝐚𝐛𝐚𝐫𝐤𝐚𝐧 𝐒𝐚𝐤𝐢𝐭 𝐇𝐢𝐧𝐠𝐠𝐚 𝐃𝐢𝐫𝐚𝐰𝐚𝐭 𝐈𝐧𝐭𝐞𝐧𝐬𝐢𝐟, 𝐌𝐞𝐧𝐤𝐞𝐮 𝐏𝐮𝐛𝐚𝐲𝐚: ""𝐇𝐚𝐧𝐲𝐚 𝐂𝐡𝐞𝐜𝐤 𝐔𝐩 𝐁𝐢𝐚𝐬𝐚, 𝐍𝐨𝐫𝐦𝐚𝐥""

menteri keuangan, purbaya yudhi sadewa, membantah kabar yang menyebut dirinya jatuh sakit hingga harus dirawat di rumah https://t.co/xjzhhxdbfx",menteri keuangan purbaya yudhi sadewa membantah kabar yang menyebut dirinya jatuh sakit hingga harus dirawat di rumah,menteri keuangan purbaya yudhi sadewa membantah kabar yang menyebut dirinya jatuh sakit hingga harus dirawat di rumah,Negatif
2026-05-04T14:54:13.000Z,0,"Pengen buka jasa temenin deh. Temenin belanja, ke rumah sakit, nongkrong, nugas, beres-beres, pindahan, dsb. Gimana brandingnya ya biar trusted? Pasti ada orang yang gak tau harus menghubungi siapa kalo mau melakukan sesuatu","pengen buka jasa temenin deh. temenin belanja, ke rumah sakit, nongkrong, nugas, beres-beres, pindahan, dsb. gimana brandingnya ya biar trusted? pasti ada orang yang gak tau harus menghubungi siapa kalo mau melakukan sesuatu",pengen buka jasa temenin deh temenin belanja ke rumah sakit nongkrong nugas beres beres pindahan dsb gimana brandingnya ya biar trusted pasti ada orang yang gak tau harus menghubungi siapa kalo mau melakukan sesuatu,pengin buka jasa temenin deh temenin belanja ke rumah sakit nongkrong nugas beres beres pindahan dsb bagaimana brandingnya ya biar trusted pasti ada orang yang tidak tau harus menghubungi siapa kalau mau melakukan sesuatu,Netral
2026-05-04T14:52:51.000Z,0,@RakaSwara25 Puskes bisa merujuk ke rumah sakit maksimal tipe B tapi yang lokasinya ada di jangkauan puskes. ini kita puskes di bekasi dia minta ke rs di bandung soalnya ada sodaranya kan ya ga ada aksesnya😭,@rakaswara25 puskes bisa merujuk ke rumah sakit maksimal tipe b tapi yang lokasinya ada di jangkauan puskes. ini kita puskes di bekasi dia minta ke rs di bandung soalnya ada sodaranya kan ya ga ada aksesnya😭,puskes bisa merujuk ke rumah sakit maksimal tipe b tapi yang lokasinya ada di jangkauan puskes ini kita puskes di bekasi dia minta ke rs di bandung soalnya ada sodaranya kan ya ga ada aksesnya,puskes bisa merujuk ke rumah sakit maksimal tipe b tapi yang lokasinya ada di jangkauan puskes ini kita puskes di bekasi dia meminta ke rs di bandung soalnya ada sodaranya kan ya tidak ada aksesnya,Negatif
2026-05-04T14:51:55.000Z,0,@urlavoca Ga mau diulang ? pengabdian di daerah tertinggal demi masyarakat yg jauh dg layanan kesehatan,@urlavoca ga mau diulang ? pengabdian di daerah tertinggal demi masyarakat yg jauh dg layanan kesehatan,ga mau diulang pengabdian di daerah tertinggal demi masyarakat yg jauh dg layanan kesehatan,tidak mau diulang pengabdian di daerah tertinggal demi masyarakat yang jauh dengan layanan kesehatan,Netral
